priority,designer_status,owner,review_bucket,designer_action,level_key,category,level,grade,score,similarity,preview_similarity_score,flat_similarity,flat_similarity_score,detail_dependency_score,raw_region_count,final_region_count,region_count_drop_pct,largest_region_pct,giant_region_legitimacy,giant_region_reference_color_std,hidden_label_pct,tiny_region_pct_lt_100,tiny_region_pct_lt_200,estimated_hidden_label_pct,overmerge_risk,untouchable_region_count,regions,colors,playable_score,fail_reasons,warnings,background_interpretation,tiny_detail_interpretation,why_flagged,exception_candidate,path,playability_profile,top_3_region_pct,max_color_pct,top_3_color_pct,tiny_region_count_lt_50,tiny_region_count_lt_100,tiny_region_count_lt_200,tiny_region_pct_lt_50,config_hidden_label_count,config_hidden_label_pct,estimated_hidden_label_count,hidden_label_count,label_min_screen_radius_px,median_region_area,p10_region_area,p25_region_area,region_density_by_canvas_size,min_touch_target_at_default_zoom,tiny_region_by_number_lt_100,playable_region_count,single_tap_completion_risk,preview_mae,shading_preservation_score,has_detail,line_dark_pct,recommendation,recommendation_reasons,design_focus,selected_profile,background_region_candidate
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/01,Cartoon,01,B,90,96.41,96.41,93.2,93.2,3.21,2047,126,93.84,29.35,,,42.1,0.0,1.6,42.1,medium,12,126,45,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 93.8%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/01,medium,42.05,36.44,62.23,0,0,2,0.0,0,0.0,53,53,25,1575.5,451,724,120.16,11.6,{},124,none,9.16,96.66,True,10.88,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:130:2,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/02,Cartoon,02,B,78,96.56,96.56,90.6,90.6,5.96,1799,168,90.66,30.26,,,56.5,0.0,0.0,56.5,medium,33,168,56,100,-,"OVERMERGE_RISK_WARNING,UNTOUCHABLE_REGIONS_WARNING",No giant-background concern,Too many unreadable/tiny targets: untouchable count 33,"overmerge medium, drop 90.7%; untouchable count 33",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/02,medium,42.64,31.83,48.0,0,0,0,0.0,0,0.0,95,95,25,1387.0,371,598,160.22,14.77,{},168,none,8.78,96.95,True,8.45,REGENERATE_AUTO,REGENERATE_AUTO,line,manga:170:2,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/03,Cartoon,03,B,90,95.18,95.18,92.07,92.07,3.11,1362,236,82.67,14.44,,,51.3,0.0,0.0,51.3,medium,23,236,58,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 82.7%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/03,medium,26.87,18.64,39.15,0,0,0,0.0,0,0.0,121,121,25,1306.0,438,655,225.07,13.71,{},236,none,12.29,95.59,True,9.03,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:130:2,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/04,Cartoon,04,B,90,96.93,96.93,92.44,92.44,4.49,2614,137,94.76,39.75,,,43.8,0.0,0.0,43.8,medium,3,137,56,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 94.8%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/04,medium,47.97,40.16,55.18,0,0,0,0.0,0,0.0,60,60,25,1682.0,529,723,130.65,16.88,{},137,none,7.84,97.3,True,10.05,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/05,Cartoon,05,B,90,96.31,96.31,94.25,94.25,2.06,1590,188,88.18,12.33,,,42.0,0.0,0.0,42.0,medium,21,188,60,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 88.2%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/05,medium,19.83,13.62,27.02,0,0,0,0.0,0,0.0,79,79,25,2573.5,523,1168,179.29,14.77,{},188,none,9.41,96.11,True,7.69,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:130:2,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/06,Cartoon,06,B,90,95.25,95.25,87.66,87.66,7.59,2018,189,90.63,5.81,,,43.9,0.0,0.5,43.9,medium,18,189,61,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 90.6%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/06,medium,14.17,19.64,34.15,0,0,1,0.0,0,0.0,83,83,25,1832.0,368,751,180.24,14.77,{},188,none,12.12,96.09,True,8.45,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:130:2,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/07,Cartoon,07,B,90,96.54,96.54,92.34,92.34,4.2,2013,143,92.9,12.7,,,36.4,0.0,0.7,36.4,medium,11,143,62,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 92.9%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/07,medium,25.71,14.29,31.17,0,0,1,0.0,0,0.0,52,52,25,2167.0,445,884,136.38,14.77,{},142,none,8.83,96.66,True,7.47,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/08,Cartoon,08,B,90,95.65,95.65,92.64,92.64,3.01,2226,203,90.88,7.16,,,51.2,0.0,0.0,51.2,medium,21,203,63,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 90.9%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/08,medium,15.51,13.65,33.54,0,0,0,0.0,0,0.0,104,104,25,1615.0,413,722,193.6,15.82,{},203,none,11.1,95.8,True,9.88,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:130:2,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/09,Cartoon,09,B,90,96.88,96.88,94.27,94.27,2.61,2398,93,96.12,22.15,,,40.9,0.0,0.0,40.9,medium,3,93,20,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 96.1%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/09,medium,36.6,31.06,61.7,0,0,0,0.0,0,0.0,38,38,25,1781.0,574,902,88.69,12.66,{},93,none,7.95,97.09,True,11.93,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
P2,Needs Review,Designer,Over-merge review,Inspect debug_regions against source before accepting,Cartoon/10,Cartoon,10,B,90,96.03,96.03,93.26,93.26,2.77,1444,155,89.27,36.17,,,47.1,0.0,0.0,47.1,medium,14,155,59,100,-,OVERMERGE_RISK_WARNING,No giant-background concern,Tiny detail acceptable,"overmerge medium, drop 89.3%",No,/Users/anhttpova/AndroidStudioProjects/Update_app/Color_By_Number/app/src/main/assets/Cartoon/10,medium,43.0,41.33,66.5,0,0,0,0.0,0,0.0,73,73,25,1812.0,493,942,147.82,15.82,{},155,none,10.13,96.47,True,9.27,REGENERATE_AUTO,REGENERATE_AUTO,line,poster:90:1,False
